# Source: PTFS1101af
# Coordinates: 26.26361 37.94258
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 110006 06 10715 598.24102062 15.696 0.008 0 2 0 19.30
s 02 110005 00 09200 602.38448992 13.312 0.013 4 258 12 18.99
s 02 110005 00 09200 602.39640088 13.261 0.005 4 450 8 19.76
s 02 110005 00 09200 602.40804182 13.281 0.005 4 450 8 19.77
s 02 110005 00 09200 602.42079285 13.304 0.052 4 258 12 18.81
s 02 110005 00 09200 602.43530402 13.221 0.033 4 258 12 18.84
s 02 110005 00 09200 602.44930515 13.273 0.016 4 258 12 18.77
s 02 110005 00 09200 602.46380632 13.233 0.031 4 258 12 18.07
s 02 110005 00 09200 602.47635733 13.231 0.028 4 258 12 18.07
s 02 110005 00 09200 602.49090850 13.127 0.034 0 2 12 16.61
s 02 110005 00 09200 602.50298948 13.124 0.053 0 2 12 16.97
s 02 110005 00 09200 602.51579051 13.192 0.018 4 258 12 18.84
s 02 110006 06 10715 603.38517033 12.985 0.005 4 258 8 19.31
s 02 110006 06 10715 603.40387183 12.993 0.005 4 258 8 19.28
s 02 110006 06 10715 603.41877302 13.025 0.005 4 258 8 19.30
s 02 110006 06 10715 603.43199408 13.001 0.004 4 258 8 19.27
s 02 110006 06 10715 603.44633523 12.986 0.005 4 258 8 19.12
s 02 110006 06 10715 603.45961629 13.012 0.004 4 258 8 19.30
s 02 110006 06 10715 603.47593760 12.997 0.005 4 258 8 19.30
s 02 110006 06 10715 603.49055877 13.000 0.005 4 258 8 19.32
