# Source: PTFS1108i
# Coordinates: 129.17800 53.47727
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 004830 05 03805 255.44531358 16.778 0.012 0 2 0 19.91
s 02 004830 05 03805 255.48960654 16.696 0.009 0 2 0 20.35
s 02 004830 05 03805 305.33598666 16.899 0.016 0 2 0 19.56
s 02 004830 05 03805 305.38055027 16.752 0.012 0 2 0 19.87
s 02 004830 05 03805 448.23574740 16.550 0.013 0 2 0 19.41
s 02 004830 05 03805 448.28067398 16.455 0.013 0 2 0 19.36
s 02 004830 05 03805 463.26840599 16.272 0.016 0 194 4 20.70
s 02 004830 05 03805 463.31258238 16.311 0.018 0 2 4 20.46
s 02 004830 05 03805 481.17285643 16.253 0.009 0 2 0 19.89
s 02 004830 05 03805 481.21741281 16.338 0.010 0 2 0 19.85
s 02 004830 05 03805 486.23852867 16.684 0.011 0 2 0 19.97
s 02 004830 05 03805 486.28284514 16.749 0.013 0 2 0 19.46
s 02 004830 05 03805 633.47987940 16.366 0.009 0 2 0 19.89
s 02 004830 05 03805 633.52380274 16.384 0.010 0 2 0 19.85
s 02 004830 05 03805 680.48102644 16.621 0.011 0 2 0 19.93
s 02 004830 05 03805 680.53283041 16.852 0.010 0 2 0 20.29
s 02 004830 05 03805 1393.41411290 16.820 0.010 0 2 0 20.22
s 02 004830 05 03805 1393.44640557 16.775 0.008 0 2 0 20.35
s 02 004830 05 03805 1395.41832835 16.619 0.010 0 2 0 19.91
s 02 004830 05 03805 1396.31830241 16.655 0.016 0 2 0 19.39
s 02 004830 05 03805 1397.42626335 16.761 0.013 0 194 0 19.84
s 02 004830 05 03805 1397.45658584 16.751 0.012 0 194 0 19.94
s 02 004830 05 03805 1399.48974195 16.730 0.010 0 194 0 20.12
s 02 004830 05 03805 1399.52028444 16.769 0.010 0 2 0 20.14
s 02 004830 05 03805 1400.45088009 16.565 0.012 0 2 0 19.60
s 02 004830 05 03805 1400.48086253 16.677 0.010 0 2 0 19.89
s 02 004830 05 03805 1401.49982505 16.536 0.010 0 2 0 20.16
s 02 004830 05 03805 1401.54347858 16.728 0.011 0 2 0 20.08
s 02 004830 05 03805 1403.40570847 16.756 0.011 0 2 0 19.88
s 02 004830 05 03805 1403.43711099 16.778 0.011 0 2 0 19.90
s 02 004830 05 03805 1405.35799423 16.872 0.011 0 2 0 20.20
s 02 004830 05 03805 1405.47885382 16.869 0.009 0 2 0 20.44
s 02 004830 05 03805 1407.38338412 16.802 0.008 0 2 0 20.44
s 02 004830 05 03805 1407.41683674 16.828 0.008 0 2 0 20.42
s 02 004830 05 03805 1420.43077890 16.384 0.007 0 2 0 21.17
s 02 004830 05 03805 1420.46042098 16.336 0.007 0 194 0 21.18
s 02 004830 05 03805 1422.37846421 16.606 0.008 0 2 0 20.38
s 02 004830 05 03805 1422.40179581 16.656 0.008 0 2 0 20.54
s 02 004830 05 03805 1424.31628571 16.459 0.008 0 194 0 20.17
s 02 004830 05 03805 1424.34808785 16.406 0.009 0 2 0 20.18
s 02 004830 05 03805 1426.33426921 16.411 0.010 0 2 0 19.86
s 02 004830 05 03805 1426.36487120 16.507 0.010 0 2 0 19.87
s 02 004830 05 03805 1433.36182429 16.413 0.111 0 2 4 16.07
s 02 004830 05 03805 1433.39249608 0.000 inf 0 0 0 15.63
s 02 004830 05 03805 1434.41944549 16.592 0.015 0 2 0 19.37
s 02 004830 05 03805 1434.44881717 16.272 0.012 0 2 0 19.71
s 02 004830 05 03805 1435.50937732 16.441 0.011 0 2 0 20.30
s 02 004830 05 03805 1435.53930900 16.508 0.014 0 2 0 19.69
s 02 004830 05 03805 1437.35729922 16.475 0.007 0 2 0 21.15
s 02 004830 05 03805 1440.38847809 16.031 0.005 0 2 0 20.92
s 02 004830 05 03805 1440.41775957 16.569 0.007 0 2 0 20.62
s 02 004830 05 03805 1441.49882364 16.554 0.007 0 2 0 20.84
s 02 004830 05 03805 1441.52954515 16.465 0.010 0 2 0 20.26
s 02 004830 05 03805 1450.19362650 16.629 0.010 0 2 0 19.91
s 02 004830 05 03805 1794.54203694 16.593 0.007 0 2 0 20.93
s 02 004830 05 03805 1795.30895462 16.935 0.011 0 2 0 20.28
s 02 004830 05 03805 1795.35125724 16.728 0.008 0 2 0 20.59
s 02 004830 05 03805 1795.39354985 16.858 0.019 0 2 0 19.40
