# Source: PTFS1110l
# Coordinates: 164.23741 49.68843
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 100188 09 00432 75.17661657 17.088 0.019 0 2 4 20.83
s 02 100188 09 00432 75.25285342 17.267 0.021 0 2 4 21.15
s 02 100188 09 00432 75.35034937 17.194 0.021 0 2 4 20.73
s 02 100188 09 00432 75.43347591 17.504 0.021 0 194 4 20.54
s 02 100188 09 00432 102.16159101 16.567 0.012 2 2 0 21.15
s 02 100188 09 00432 102.17017045 16.720 0.013 2 2 4 21.14
s 02 100188 09 00432 102.17895987 16.892 0.015 2 2 4 20.98
s 02 100188 09 00432 102.18766929 16.891 0.015 2 2 4 20.88
s 02 100188 09 00432 102.19673870 16.819 0.011 2 2 0 21.03
s 02 100188 09 00432 102.20623807 16.602 0.010 2 2 0 20.88
s 02 100188 09 00432 102.21531747 16.433 0.012 2 2 4 21.16
s 02 100188 09 00432 102.23208637 16.621 0.011 2 2 0 20.81
s 02 100188 09 00432 102.24012584 16.697 0.010 2 2 0 20.56
s 02 100188 09 00432 102.24818530 16.780 0.012 2 2 0 20.51
s 02 100188 09 00432 102.26353429 16.876 0.013 2 2 0 20.28
s 02 100188 09 00432 102.27151377 16.782 0.013 2 2 0 20.31
s 02 100188 09 00432 102.27945324 16.546 0.011 2 2 0 20.31
s 02 100188 09 00432 102.29231239 16.502 0.011 2 2 0 20.37
s 02 100188 09 00432 102.30046186 16.551 0.011 2 2 0 20.41
s 02 100188 09 00432 102.30864132 16.629 0.010 2 2 0 20.33
s 02 100188 09 00432 102.31686077 16.830 0.012 2 2 0 20.32
s 02 100188 09 00432 102.32509023 16.905 0.012 2 2 0 20.30
s 02 100188 09 00432 102.33328969 16.922 0.012 0 2 0 20.29
s 02 100188 09 00432 102.34151915 16.861 0.013 0 2 0 20.33
s 02 100188 09 00432 102.34976860 16.559 0.010 2 2 0 20.27
s 02 100188 09 00432 102.35804806 16.424 0.010 0 2 0 20.28
s 02 100188 09 00432 102.36633751 16.417 0.010 2 2 0 20.29
s 02 100188 09 00432 102.37464696 16.530 0.011 0 2 0 20.27
s 02 100188 09 00432 102.38299641 16.519 0.011 0 2 0 20.26
s 02 100188 09 00432 102.39136586 16.685 0.012 0 2 0 20.19
s 02 100188 09 00432 102.39971531 16.794 0.012 0 2 0 19.94
s 02 100188 09 00432 102.40807475 16.773 0.012 2 2 0 20.04
s 02 100188 09 00432 102.41648420 16.515 0.013 0 2 0 19.95
s 02 100188 09 00432 102.42491364 16.392 0.011 0 2 0 20.03
s 02 100188 09 00432 102.43333309 16.297 0.011 0 2 0 19.86
s 02 100188 09 00432 102.44178253 16.367 0.012 0 2 0 19.74
s 02 100188 09 00432 102.45021197 16.456 0.013 0 2 0 19.69
s 02 100188 09 00432 102.45868141 16.579 0.015 0 2 0 19.75
s 02 100188 09 00432 102.46716085 16.648 0.015 0 2 0 19.56
s 02 100188 09 00432 102.47560029 16.752 0.016 0 2 0 19.43
s 02 100188 09 00432 103.37046090 16.577 0.014 0 2 4 20.16
s 02 100188 09 00432 103.37852036 16.725 0.013 2 2 4 20.22
s 02 100188 09 00432 103.38664982 16.836 0.019 0 2 4 19.43
s 02 100188 09 00432 103.39479928 16.899 0.023 0 2 4 19.46
s 02 100188 09 00432 103.40288874 17.038 0.019 0 2 4 19.95
s 02 100188 09 00432 103.41106819 16.932 0.018 0 2 4 19.69
s 02 100188 09 00432 103.41928764 16.842 0.041 0 2 4 18.00
s 02 100188 09 00432 103.42744710 16.680 0.020 0 2 4 19.17
s 02 100188 09 00432 103.43558656 16.591 0.034 0 2 4 18.04
s 02 100188 09 00432 103.44377601 16.495 0.017 0 2 4 19.54
s 02 100188 09 00432 103.45198546 16.700 0.018 0 2 4 19.72
s 02 100188 09 00432 103.46023491 0.000 inf 0 0 0 16.12
s 02 100188 09 00432 103.46845436 17.124 0.187 0 0 4 16.57
s 02 100188 09 00432 103.47667381 16.817 0.088 0 2 4 17.78
s 02 100188 09 00432 145.23969689 16.835 0.009 2 2 0 20.70
s 02 100188 09 00432 145.29467278 16.638 0.008 2 2 0 20.44
s 02 100188 09 00432 145.34575896 16.407 0.009 2 2 0 20.13
s 02 100188 09 00432 152.17645552 17.276 0.017 0 2 0 19.79
s 02 100188 09 00432 152.23278144 17.449 0.018 0 194 0 19.81
s 02 100188 09 00432 152.29326706 17.312 0.021 0 2 0 19.43
s 02 100188 09 00432 154.32422087 17.336 0.201 0 0 4 16.57
s 02 100188 09 00432 311.39374445 17.072 0.044 0 2 0 18.16
s 02 004771 09 00867 311.42258669 17.077 0.017 0 2 0 19.57
s 02 100188 09 00432 311.43774786 17.038 0.015 0 2 0 19.60
s 02 004771 09 00867 311.46715013 17.354 0.086 0 2 4 16.94
s 02 100188 09 00432 371.49018680 17.283 0.013 0 2 0 20.49
s 02 100188 09 00432 371.53546891 17.091 0.026 0 2 4 19.39
s 02 100188 09 00432 412.48760553 15.334 0.005 0 2 0 20.30
s 02 100188 09 00432 412.53332525 15.425 0.005 0 2 0 20.34
s 02 100188 09 00432 419.55171897 16.276 0.015 0 2 4 19.77
s 02 004771 09 00867 447.52413626 17.731 0.027 0 2 0 19.52
s 02 004771 09 00867 448.16953444 17.447 0.021 0 2 0 19.71
s 02 004771 09 00867 448.21315227 17.358 0.018 0 2 0 19.79
s 02 004771 09 00867 461.37932708 17.099 0.016 0 2 0 19.83
