# Source: PTFS1115am
# Coordinates: 239.22699 21.12195
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 100103 08 06639 75.34147688 17.115 0.011 0 2 0 20.43
s 02 100103 08 06639 75.41816167 17.089 0.011 0 2 0 20.41
s 02 100103 08 06639 75.53880920 17.087 0.012 0 2 0 20.32
s 02 100103 08 06639 75.54025929 17.105 0.012 0 2 0 20.33
s 02 003692 06 09506 142.21512752 17.213 0.014 0 2 0 20.31
s 02 003692 06 09506 142.27758670 17.173 0.012 0 2 0 20.42
s 02 003692 06 09506 142.34122585 17.243 0.012 0 2 0 20.58
s 02 003692 06 09506 142.41298488 17.153 0.012 2 2 0 20.49
s 02 003692 06 09506 142.45863427 17.222 0.013 2 2 0 20.38
s 02 003692 06 09506 142.49196382 17.170 0.019 0 2 0 19.70
s 02 100103 08 06639 146.24621421 17.275 0.011 0 2 0 20.87
s 02 100103 08 06639 146.32326281 17.217 0.011 0 2 0 20.93
s 02 100103 08 06639 146.36374206 17.248 0.011 0 2 0 20.97
s 02 100103 08 06639 146.39508149 17.180 0.011 0 2 0 20.80
s 02 100103 08 06639 146.42700090 17.242 0.012 0 2 0 20.69
s 02 100103 08 06639 146.43906068 17.173 0.012 2 2 0 20.57
s 02 100103 08 06639 146.44808051 17.211 0.012 0 2 0 20.63
s 02 100103 08 06639 146.45716035 17.240 0.012 0 2 0 20.56
s 02 100103 08 06639 146.46477021 17.216 0.012 0 2 0 20.51
s 02 100103 08 06639 146.47099009 17.199 0.012 2 2 0 20.49
s 02 100103 08 06639 146.47716998 17.186 0.013 2 2 0 20.36
s 02 100103 08 06639 146.48336986 17.167 0.014 0 2 0 20.15
s 02 100103 08 06639 146.48785978 17.218 0.018 0 2 0 19.79
s 02 003692 06 09506 170.30512035 17.187 0.012 0 2 0 20.45
s 02 100103 08 06639 170.30652029 17.165 0.012 0 2 0 20.65
s 02 100103 08 06639 178.28266882 17.159 0.012 0 2 0 20.55
s 02 100103 08 06639 179.21923903 17.245 0.019 0 2 4 20.17
s 02 100103 08 06639 183.24227668 17.141 0.017 0 194 0 19.78
s 02 100103 08 06639 183.34487083 17.235 0.024 0 194 0 19.34
s 02 003692 06 09506 184.28687677 17.211 0.018 0 2 0 19.82
s 02 003692 06 09506 184.35759269 17.150 0.019 0 2 0 19.70
s 02 100103 08 06639 187.21650425 17.194 0.018 0 194 0 19.71
s 02 100103 08 06639 187.32005804 17.194 0.022 0 2 0 19.39
