# Source: PTFS1116bj
# Coordinates: 254.65710 18.79096
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 003597 10 10016 150.26430533 20.065 0.126 0 2 0 20.25
s 02 003597 10 10016 150.32625544 20.492 0.105 0 2 0 20.49
s 02 003597 10 10016 150.39000555 20.195 0.080 0 2 0 20.71
s 02 003597 10 10016 183.28652004 20.455 0.205 0 0 0 19.79
s 02 003597 10 10016 183.35612743 0.000 inf 0 0 0 19.51
s 02 003597 10 10016 192.28822092 19.967 0.098 0 2 0 20.27
s 02 003597 10 10016 192.36365740 20.209 0.123 0 2 0 20.07
s 02 003597 10 10016 202.24419104 19.023 0.046 0 2 0 20.33
s 02 003597 10 10016 202.33229614 18.988 0.045 0 2 0 20.27
s 02 003597 10 10016 217.24442463 19.105 0.063 0 2 0 19.76
s 02 003597 10 10016 217.34135823 19.150 0.126 0 2 0 19.18
s 02 003597 10 10016 222.33791163 18.612 0.070 0 2 0 19.38
s 02 003597 10 10016 223.18429338 18.656 0.032 0 2 0 20.52
s 02 003597 10 10016 227.31508458 18.673 0.040 0 2 0 20.26
s 02 003597 10 10016 228.21865050 18.843 0.035 0 2 0 20.63
s 02 003597 10 10016 234.24778619 19.503 0.064 0 2 0 20.34
s 02 003597 10 10016 234.29144301 19.212 0.058 0 194 0 20.18
s 02 003597 10 10016 438.47194010 0.000 inf 0 0 0 19.37
s 02 003597 10 10016 438.51596332 20.485 0.110 0 2 0 20.24
s 02 003597 10 10016 501.35925450 20.157 0.108 0 2 0 20.18
s 02 003597 10 10016 516.46349637 19.382 0.080 0 2 0 19.93
s 02 003597 10 10016 517.45876640 19.391 0.062 0 2 0 20.31
s 02 003597 10 10016 518.45860518 19.199 0.056 0 2 0 20.30
s 02 003597 10 10016 519.27705326 19.044 0.033 0 194 0 20.88
