# Source: PTFS1117an
# Coordinates: 262.53483 62.79851
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 005080 02 09737 127.17460067 16.179 0.011 0 2 0 19.48
s 02 005080 02 09737 127.26411067 16.214 0.010 0 2 0 19.57
s 02 005080 02 09737 127.31960066 16.135 0.008 0 2 0 19.88
s 02 005080 02 09737 127.36838066 16.006 0.008 0 2 0 19.86
s 02 005080 02 09737 127.42754065 16.209 0.008 0 2 0 19.91
s 02 005080 02 09737 127.47810065 16.007 0.007 0 2 0 20.01
s 02 005080 02 09737 136.26292423 15.339 0.005 0 2 0 20.41
s 02 005080 02 09737 136.43785399 15.399 0.005 0 2 0 20.38
s 02 005080 02 09737 140.37126747 14.024 0.004 6 258 8 20.61
s 02 005080 02 09737 140.41255739 14.117 0.004 2 2 8 20.65
s 02 005080 02 09737 171.46921465 15.249 0.012 3 2 0 20.19
s 02 005080 02 09737 187.26749170 15.049 0.019 19 2 0 19.72
s 02 005080 02 09737 187.36558100 15.696 0.021 3 2 0 19.53
s 02 005080 02 09737 193.39947639 0.000 inf 0 0 0 19.94
s 02 005080 02 09737 193.44393605 0.000 inf 0 0 0 19.88
s 02 005080 02 09737 201.41498376 16.322 0.008 0 2 0 20.39
s 02 005080 02 09737 201.46093339 16.350 0.009 0 2 0 20.18
s 02 005080 02 09737 216.42046996 16.373 0.013 0 2 0 19.33
s 02 005080 02 09737 216.44493975 16.369 0.014 0 2 0 19.32
s 02 005080 02 09737 219.41289480 16.200 0.011 0 2 0 19.49
s 02 005080 02 09737 220.18619829 16.165 0.008 0 2 0 20.19
s 02 005080 02 09737 220.42677627 16.257 0.011 0 2 0 19.52
s 02 005080 02 09737 221.18986985 16.454 0.008 0 2 0 20.35
s 02 005080 02 09737 222.41639953 16.469 0.012 0 2 0 19.79
s 02 005080 02 09737 223.23977261 16.172 0.010 2 2 0 20.42
s 02 005080 02 09737 227.25370896 15.902 0.014 3 2 0 20.54
s 02 005080 02 09737 227.34429820 15.852 0.014 3 2 0 20.38
s 02 005080 02 09737 229.40020107 15.611 0.017 3 2 0 19.94
s 02 005080 02 09737 230.19713445 15.542 0.010 3 2 0 20.50
s 02 005080 02 09737 232.32408686 15.347 0.014 3 2 0 20.23
s 02 005080 02 09737 232.36924649 15.285 0.015 3 2 0 20.07
s 02 005080 02 09737 237.17194732 16.415 0.008 0 2 0 20.53
s 02 005080 02 09737 248.35074028 16.114 0.014 0 2 0 19.11
s 02 005080 02 09737 249.27981338 16.050 0.022 3 2 0 19.54
s 02 005080 02 09737 249.34706288 16.277 0.014 0 2 0 19.39
s 02 005080 02 09737 256.32944304 16.328 0.008 0 2 0 20.22
s 02 005080 02 09737 262.30808354 15.181 0.007 0 2 0 20.00
s 02 005080 02 09737 263.31107724 15.569 0.006 0 2 0 20.19
s 02 005080 02 09737 276.18542570 16.151 0.011 0 2 0 19.36
s 02 005080 02 09737 276.23064549 16.303 0.015 0 2 0 18.90
s 02 005080 02 09737 306.11686023 16.595 0.013 0 2 0 19.44
s 02 005080 02 09737 306.16068020 16.535 0.014 0 2 0 19.32
s 02 005080 02 09737 450.34999929 15.671 0.009 0 2 0 19.22
s 02 005080 02 09737 450.39601955 15.718 0.010 0 2 0 19.20
s 02 005080 02 09737 465.44493020 16.304 0.007 0 2 0 20.40
s 02 005080 02 09737 465.48861037 16.154 0.007 0 2 0 20.11
s 02 005080 02 09737 470.50980745 15.960 0.006 0 2 0 20.43
s 02 005080 02 09737 471.43123021 16.221 0.007 0 2 0 20.28
s 02 005080 02 09737 471.48012035 16.264 0.007 0 2 0 20.31
s 02 005080 02 09737 478.29521707 14.931 0.004 0 2 0 19.82
s 02 005080 02 09737 478.33873715 14.960 0.005 0 2 0 19.86
s 02 005080 02 09737 488.46002975 15.945 0.006 0 2 0 20.33
s 02 005080 02 09737 490.45276050 0.000 inf 0 0 0 20.53
s 02 005080 02 09737 490.49588051 16.509 0.009 0 2 0 19.90
s 02 005080 02 09737 498.47221772 16.184 0.006 0 2 0 20.73
s 02 005080 02 09737 499.35012685 15.231 0.004 0 2 0 20.86
s 02 005080 02 09737 499.39569681 15.287 0.004 0 2 0 20.91
s 02 005080 02 09737 506.37424601 16.357 0.008 0 2 0 20.13
s 02 005080 02 09737 506.42039592 16.411 0.008 0 2 0 20.18
s 02 005080 02 09737 515.37754217 16.095 0.007 0 2 0 20.29
s 02 005080 02 09737 515.42161202 16.140 0.007 0 2 0 20.24
s 02 005080 02 09737 520.37330431 16.185 0.006 0 2 0 20.74
s 02 005080 02 09737 520.41797414 16.193 0.006 0 2 0 20.76
s 02 005080 02 09737 525.38126325 0.000 inf 0 0 0 20.77
s 02 005080 02 09737 525.42432306 0.000 inf 0 0 0 20.77
s 02 005080 02 09737 530.41189907 0.000 inf 0 0 0 20.66
s 02 005080 02 09737 530.46744879 0.000 inf 0 0 0 20.45
s 02 005080 02 09737 531.19486505 0.000 inf 0 0 0 20.45
s 02 005080 02 09737 531.26755467 0.000 inf 0 0 0 20.69
s 02 005080 02 09737 531.32384438 0.000 inf 0 0 0 20.67
s 02 005080 02 09737 531.38621405 0.000 inf 0 0 0 20.79
s 02 005080 02 09737 531.44640374 0.000 inf 0 0 0 20.65
s 02 005080 02 09737 536.40214658 16.223 0.006 0 2 0 20.40
s 02 005080 02 09737 536.44592633 16.320 0.007 0 2 0 20.39
s 02 005080 02 09737 541.41042657 16.399 0.011 0 2 0 19.59
s 02 005080 02 09737 541.45409630 16.371 0.008 0 2 0 19.99
s 02 005080 02 09737 547.36866780 14.131 0.004 0 2 8 24.02
s 02 005080 02 09737 547.41373749 14.032 0.004 0 2 8 24.02
s 02 005080 02 09737 552.38808280 14.505 0.005 0 2 0 20.85
s 02 005080 02 09737 552.43239248 14.560 0.004 2 2 0 20.59
s 02 005080 02 09737 558.40410840 0.000 inf 0 0 0 20.33
s 02 005080 02 09737 558.44778806 16.292 0.007 0 2 0 20.22
s 02 005080 02 09737 563.39850983 16.279 0.008 0 2 0 20.01
s 02 005080 02 09737 563.44666945 16.131 0.014 0 2 0 18.63
s 02 005080 02 09737 569.19532352 16.216 0.008 0 2 0 19.84
s 02 005080 02 09737 569.25238305 16.179 0.008 0 2 0 19.79
s 02 005080 02 09737 580.36925108 16.181 0.018 0 2 4 19.79
s 02 005080 02 09737 580.41230071 16.413 0.017 0 2 4 19.76
s 02 005080 02 09737 602.17347951 16.170 0.016 0 2 4 19.22
s 02 005080 02 09737 602.21649916 16.240 0.010 0 2 0 19.81
s 02 005080 02 09737 621.17016597 16.074 0.006 0 2 0 20.50
s 02 005080 02 09737 621.21510566 16.240 0.006 0 2 0 20.47
s 02 005080 02 09737 625.23504863 16.223 0.007 0 2 0 20.07
s 02 005080 02 09737 625.27926834 16.337 0.008 0 2 0 19.88
s 02 005080 02 09737 629.14046377 15.659 0.006 0 2 0 19.92
s 02 005080 02 09737 629.18390350 15.620 0.007 0 2 0 19.80
s 02 005080 02 09737 632.13612572 16.117 0.010 0 2 0 19.38
s 02 005080 02 09737 632.18234545 16.069 0.008 0 2 0 19.84
s 02 005080 02 09737 635.19985822 16.169 0.008 0 2 0 19.97
s 02 005080 02 09737 635.24425797 16.252 0.010 0 2 0 19.80
s 02 005080 02 09737 647.13441022 16.438 0.008 0 2 0 20.26
s 02 005080 02 09737 647.17867004 16.181 0.007 0 2 0 20.20
s 02 005080 02 09737 892.25150588 16.441 0.009 0 2 0 19.89
s 02 005080 02 09737 892.29652567 16.338 0.009 0 2 0 19.80
s 02 005080 02 09737 900.36866401 16.282 0.008 0 2 0 20.19
s 02 005080 02 09737 903.37727667 16.595 0.008 0 2 0 20.51
s 02 005080 02 09737 903.42013642 16.578 0.008 0 2 0 20.44
s 02 005080 02 09737 919.39086025 16.071 0.007 0 2 0 20.34
s 02 005080 02 09737 919.44530985 16.394 0.008 0 2 0 20.35
s 02 005080 02 09737 923.40804042 14.948 0.006 0 2 0 19.71
s 02 005080 02 09737 923.46562998 14.863 0.005 0 2 0 20.05
s 02 005080 02 09737 926.41384743 13.903 0.005 0 2 8 19.61
s 02 005080 02 09737 926.45853709 14.103 0.006 0 2 8 19.44
s 02 005080 02 09737 931.24807944 14.524 0.004 0 2 0 20.58
s 02 005080 02 09737 931.29143909 14.556 0.004 0 2 0 20.30
s 02 005080 02 09737 952.20941580 16.266 0.008 0 2 0 19.87
s 02 005080 02 09737 952.25401543 16.266 0.009 0 2 0 19.88
s 02 005080 02 09737 957.24465356 16.338 0.008 0 2 0 19.93
s 02 005080 02 09737 957.28761320 16.330 0.009 0 2 0 19.85
s 02 005080 02 09737 960.18962901 16.144 0.006 0 2 0 20.55
s 02 005080 02 09737 960.24322857 16.199 0.007 0 2 0 20.29
s 02 005080 02 09737 985.26554415 16.269 0.016 0 2 0 18.98
s 02 005080 02 09737 985.30984384 16.415 0.020 0 2 0 18.85
s 02 005080 02 09737 988.23896372 16.392 0.010 0 2 0 19.79
s 02 005080 02 09737 988.28322342 16.443 0.011 0 2 0 19.69
s 02 005080 02 09737 992.12833814 16.151 0.007 0 2 0 20.41
s 02 005080 02 09737 992.22327753 16.519 0.008 0 2 0 20.33
