# Source: PTFS1118m
# Coordinates: 270.59350 45.87903
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 004652 11 09786 892.31820700 15.750 0.005 0 2 0 19.85
s 02 004652 11 09786 892.36547731 15.695 0.005 0 2 0 19.94
s 02 004652 11 09786 898.32969560 17.912 0.022 0 2 0 19.95
s 02 004652 11 09786 898.37345573 17.850 0.023 0 2 0 19.81
s 02 004652 11 09786 901.32575201 18.634 0.027 0 194 0 20.46
s 02 004652 11 09786 901.36936207 18.534 0.028 0 2 0 20.28
s 02 004652 11 09786 919.28989090 18.870 0.044 0 2 0 20.13
s 02 004652 11 09786 922.41705965 16.366 0.007 0 2 0 20.03
s 02 004652 11 09786 922.46078917 16.259 0.006 0 2 0 20.20
s 02 004652 11 09786 925.39313487 18.471 0.055 0 2 0 19.30
s 02 004652 11 09786 925.43673433 18.589 0.069 0 2 0 19.18
s 02 004652 11 09786 928.39416493 18.889 0.057 0 2 0 19.68
s 02 004652 11 09786 931.30322161 18.417 0.026 0 2 0 20.24
s 02 004652 11 09786 931.34748092 18.701 0.033 0 2 0 20.18
s 02 004652 11 09786 934.38571089 17.296 0.012 0 2 0 20.27
s 02 004652 11 09786 934.42979013 17.306 0.014 0 2 0 19.96
s 02 004652 11 09786 938.19674149 18.471 0.023 0 2 0 20.70
s 02 004652 11 09786 938.24018066 18.684 0.024 0 2 0 20.85
s 02 004652 11 09786 947.24261886 18.956 0.037 0 2 0 20.46
s 02 004652 11 09786 947.28569785 18.634 0.027 0 2 0 20.55
s 02 004652 11 09786 950.19029817 18.789 0.040 0 2 0 20.11
s 02 004652 11 09786 950.23785700 18.804 0.042 0 2 0 20.10
s 02 004652 11 09786 958.22167781 18.282 0.025 0 2 0 20.20
s 02 004652 11 09786 961.28816118 19.062 0.043 0 2 0 20.23
s 02 004652 11 09786 961.33390986 18.759 0.038 0 2 0 20.18
s 02 004652 11 09786 979.23320882 17.183 0.014 0 2 0 19.82
s 02 004652 11 09786 979.32160587 17.462 0.022 0 2 0 19.49
s 02 004652 11 09786 985.26271462 18.758 0.069 0 2 0 19.36
s 02 004652 11 09786 985.30649312 19.159 0.090 0 2 0 19.01
s 02 004652 11 09786 988.26219132 18.873 0.053 0 2 0 19.70
s 02 004652 11 09786 992.13364684 18.771 0.032 0 2 0 20.44
s 02 004652 11 09786 992.21223410 18.753 0.035 0 2 0 20.20
s 02 004652 11 09786 1006.14768805 18.955 0.051 0 2 0 20.01
