# Source: PTFS1423f
# Coordinates: 352.47573 6.46999
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 003009 04 04934 175.37315789 15.524 0.006 0 2 0 20.41
s 02 003009 04 04934 175.45382561 15.489 0.006 0 2 0 21.16
s 02 003009 04 04934 177.41025223 15.693 0.005 0 2 0 20.73
s 02 003009 04 04934 185.38422931 15.776 0.008 0 2 0 19.83
s 02 003009 04 04934 185.42933346 15.788 0.006 0 2 0 20.35
s 02 003009 04 04934 197.31222442 15.861 0.007 0 2 0 20.22
s 02 003009 04 04934 197.38570062 15.716 0.006 0 2 0 20.54
s 02 003009 04 04934 206.33707078 15.889 0.016 0 2 4 21.14
s 02 003009 04 04934 207.27792209 15.762 0.007 0 2 0 20.28
s 02 003009 04 04934 213.35451012 15.844 0.009 0 2 0 20.47
s 02 003009 04 04934 213.40912387 15.738 0.007 0 2 0 21.16
s 02 003009 04 04934 544.38324358 15.807 0.008 0 2 0 19.69
s 02 003009 04 04934 544.42643767 15.886 0.007 0 2 0 19.85
s 02 003009 04 04934 578.49336098 15.874 0.019 0 2 4 20.18
s 02 003009 04 04934 586.31156334 15.952 0.022 0 2 4 20.19
s 02 003009 04 04934 586.35562595 15.932 0.020 0 2 4 20.30
s 02 003009 04 04934 589.48263515 15.980 0.006 0 2 0 21.16
s 02 003009 04 04934 590.28534905 15.960 0.007 0 2 0 20.55
s 02 003009 04 04934 590.34250214 15.816 0.006 0 2 0 21.12
s 02 003009 04 04934 593.47295466 15.907 0.018 0 2 4 20.73
s 02 003009 04 04934 593.51617681 15.887 0.019 0 194 4 19.49
s 02 003009 04 04934 596.47112738 15.870 0.010 0 2 0 21.15
s 02 003009 04 04934 596.51403933 15.868 0.010 0 2 0 19.85
s 02 003009 04 04934 605.19217730 15.875 0.009 0 2 0 19.13
s 02 003009 04 04934 605.23591871 15.882 0.009 0 2 0 19.32
s 02 003009 04 04934 608.36133202 15.794 0.012 0 514 4 20.62
s 02 003009 04 04934 608.42805384 15.791 0.009 0 2 0 20.53
s 02 003009 04 04934 613.25724702 15.853 0.005 0 2 0 21.13
s 02 003009 04 04934 613.30093787 15.891 0.005 0 2 0 21.16
s 02 003009 04 04934 618.17640340 15.888 0.006 0 2 0 20.27
s 02 003009 04 04934 618.21923389 15.829 0.005 0 2 0 20.84
s 02 003009 04 04934 621.33096137 15.781 0.006 0 2 0 21.14
s 02 003009 04 04934 621.37601165 15.769 0.005 0 2 0 21.16
s 02 003009 04 04934 626.26365192 15.788 0.007 0 2 0 20.10
s 02 003009 04 04934 626.30916182 15.824 0.007 0 2 0 20.21
s 02 003009 04 04934 632.39950831 15.925 0.010 0 2 0 18.88
s 02 003009 04 04934 632.44390776 15.938 0.010 0 2 0 18.62
s 02 003009 04 04934 641.35682220 15.926 0.007 0 2 0 21.16
s 02 003009 04 04934 641.40199098 15.902 0.007 0 2 0 20.63
s 02 003009 04 04934 647.32754192 15.647 0.005 0 2 0 20.42
s 02 003009 04 04934 647.37405021 15.593 0.005 0 2 0 20.28
s 02 003009 04 04934 651.11208200 15.814 0.006 0 2 0 20.29
s 02 003009 04 04934 651.15637011 15.807 0.005 0 2 0 20.51
s 02 003009 04 04934 665.12817039 15.817 0.006 0 514 0 20.27
s 02 003009 04 04934 665.17128768 15.825 0.006 0 514 0 20.32
s 02 003009 04 04934 2080.27766395 15.810 0.007 0 2 0 19.82
