# Source: PTFS1502z
# Coordinates: 34.30794 40.69158
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 004450 09 02843 1470.11807743 20.128 0.077 0 2 0 20.66
s 02 004450 09 02843 1470.16649348 20.042 0.087 0 2 0 20.66
s 02 004450 09 02843 1473.15885593 19.962 0.104 0 2 0 20.52
s 02 004450 09 02843 1473.25028827 19.973 0.112 0 2 0 20.37
s 02 004450 09 02843 1474.15292240 19.678 0.080 0 2 0 20.47
s 02 004450 09 02843 1474.22530630 0.000 inf 0 0 0 19.33
s 02 004450 09 02843 1475.15052798 20.290 0.144 0 2 0 19.93
s 02 004450 09 02843 1475.20858305 19.881 0.117 0 2 0 19.99
s 02 004450 09 02843 1476.13518408 20.352 0.161 0 0 0 19.67
s 02 004450 09 02843 1476.20428818 19.974 0.130 0 2 0 19.73
s 02 004450 09 02843 1477.24684873 0.000 inf 0 0 0 17.97
s 02 004450 09 02843 1477.29612449 0.000 inf 0 0 0 18.28
s 02 004450 09 02843 1478.21256538 20.276 0.161 0 0 0 19.80
s 02 004450 09 02843 1478.26168112 0.000 inf 0 0 0 19.20
s 02 004450 09 02843 1482.12577316 20.324 0.152 0 2 0 19.93
s 02 004450 09 02843 1482.17387892 20.093 0.159 0 2 0 19.84
s 02 004450 09 02843 1490.13516604 18.868 0.043 0 2 0 19.95
s 02 004450 09 02843 1490.18392162 18.639 0.065 0 2 0 19.57
s 02 004450 09 02843 1492.11750630 19.451 0.047 0 2 0 20.73
s 02 004450 09 02843 1492.16563193 19.385 0.048 0 2 0 20.56
s 02 004450 09 02843 1493.11840535 19.094 0.143 0 0 0 18.86
s 02 004450 09 02843 1493.16683095 0.000 inf 0 0 0 18.55
s 02 004450 09 02843 1496.12544168 19.833 0.072 0 2 0 20.46
s 02 004450 09 02843 1496.17351731 19.884 0.063 0 2 0 20.62
s 02 004450 09 02843 1497.14439889 19.897 0.118 0 2 0 19.89
s 02 004450 09 02843 1498.13811842 20.048 0.075 0 2 0 20.54
s 02 004450 09 02843 1498.18802388 20.272 0.098 0 2 0 20.37
s 02 004450 09 02843 1504.13097492 20.322 0.114 0 2 0 20.24
s 02 004450 09 02843 1504.18110040 20.150 0.092 0 2 0 20.25
s 02 004450 09 02843 1505.14210385 19.976 0.073 0 2 0 20.45
s 02 004450 09 02843 1505.19297928 20.076 0.088 0 2 0 20.27
s 02 004450 09 02843 1510.12135976 20.184 0.146 0 0 0 19.92
s 02 004450 09 02843 1510.17117536 20.499 0.140 0 2 0 19.87
s 02 004450 09 02843 1554.12856220 0.000 inf 0 0 0 19.10
s 02 004450 09 02843 1623.47696755 15.507 0.011 0 2 0 19.29
s 02 004450 09 02843 1624.47421849 15.725 0.009 0 2 0 19.33
s 02 004450 09 02843 1624.47698864 15.711 0.009 0 2 0 19.09
s 02 004450 09 02843 1626.46851396 16.180 0.008 0 2 0 19.80
s 02 004450 09 02843 1626.46966402 16.174 0.009 0 2 0 19.68
s 02 004450 09 02843 1628.46306411 18.618 0.039 0 2 0 20.04
s 02 004450 09 02843 1628.47778494 18.705 0.086 0 2 0 19.11
s 02 004450 09 02843 1630.45803883 19.019 0.054 0 2 0 19.88
s 02 004450 09 02843 1630.46347915 19.310 0.082 0 2 0 19.85
s 02 004450 09 02843 1637.43891415 19.630 0.096 0 2 0 19.75
s 02 004450 09 02843 1637.45491521 19.511 0.093 0 2 0 19.84
s 02 004450 09 02843 1639.43460775 19.311 0.079 0 2 0 19.78
s 02 004450 09 02843 1639.47174027 19.291 0.077 0 2 0 19.85
s 02 004450 09 02843 1641.42867504 19.338 0.171 0 2 0 19.31
s 02 004450 09 02843 1641.46579763 19.638 0.121 0 2 0 19.59
s 02 004450 09 02843 1645.41776050 19.085 0.191 0 0 4 18.60
s 02 004450 09 02843 1645.45520324 19.243 0.072 0 2 0 20.25
s 02 004450 09 02843 1653.39637003 0.000 inf 0 0 0 15.59
s 02 004450 09 02843 1653.43297293 0.000 inf 0 0 0 16.67
s 02 004450 09 02843 1657.38669130 19.416 0.113 0 2 0 19.58
s 02 004450 09 02843 1657.42386434 19.566 0.089 0 2 0 19.89
s 02 004450 09 02843 1659.38018526 19.687 0.160 0 2 4 19.36
s 02 004450 09 02843 1659.41653827 19.390 0.102 0 2 4 19.76
s 02 004450 09 02843 1666.36152457 19.616 0.116 0 2 0 19.50
s 02 004450 09 02843 1666.39826773 19.597 0.100 0 2 0 19.67
s 02 004450 09 02843 1668.35632654 19.313 0.118 0 2 0 19.73
s 02 004450 09 02843 1668.39360976 19.647 0.111 0 2 0 19.94
s 02 004450 09 02843 1672.38042710 19.863 0.080 0 2 0 20.24
s 02 004450 09 02843 1672.41680028 19.575 0.056 0 2 0 20.36
s 02 004450 09 02843 1674.34067926 19.059 0.065 0 2 0 19.82
s 02 004450 09 02843 1674.45486931 19.388 0.050 0 2 0 20.46
s 02 004450 09 02843 1676.39601046 19.321 0.049 0 2 0 20.48
s 02 004450 09 02843 1676.48634844 19.256 0.044 0 2 0 20.66
s 02 004450 09 02843 1678.38997673 19.118 0.035 0 2 0 20.70
s 02 004450 09 02843 1678.47850457 19.211 0.037 0 2 0 20.79
s 02 004450 09 02843 1680.38270315 19.383 0.049 0 2 0 20.50
