# Source: PTFS1516bg
# Coordinates: 251.04168 25.25054
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 003888 07 05464 137.35902125 13.274 0.010 4 258 8 20.33
s 02 003888 07 05464 138.29780937 12.866 0.009 4 258 8 19.71
s 02 003888 07 05464 141.48616950 13.221 0.006 4 258 8 20.21
s 02 003888 07 05464 141.48932952 13.307 0.006 4 258 8 20.15
s 02 003888 07 05464 170.31505397 13.284 0.006 7 258 8 20.45
s 02 003888 07 05464 184.25201811 13.251 0.007 4 258 8 19.60
s 02 003888 07 05464 184.33391477 13.258 0.006 4 258 8 19.69
s 02 003888 07 05464 193.29605517 13.411 0.006 4 258 8 20.17
s 02 003888 07 05464 193.36413188 13.300 0.006 4 258 8 19.97
s 02 003888 07 05464 203.25690794 13.180 0.005 4 258 8 20.47
s 02 003888 07 05464 203.34558303 13.306 0.005 4 258 8 20.34
s 02 003888 07 05464 217.26019837 13.412 0.006 4 258 8 19.76
s 02 003888 07 05464 217.34768289 13.221 0.006 4 450 8 18.99
s 02 003888 07 05464 222.33587585 13.214 0.007 4 258 8 19.27
s 02 003888 07 05464 223.19748023 13.187 0.004 4 258 8 20.37
s 02 003888 07 05464 228.32136524 13.292 0.005 4 258 8 20.04
s 02 003888 07 05464 229.18293832 13.322 0.006 4 258 8 20.53
s 02 003888 07 05464 234.25450082 13.068 0.006 4 258 8 20.18
s 02 003888 07 05464 234.29836789 13.189 0.006 4 258 8 20.05
s 02 003888 07 05464 440.36741126 12.250 0.005 6 258 8 19.82
s 02 003888 07 05464 440.41169407 12.290 0.005 6 258 8 19.87
s 02 003888 07 05464 464.36673922 12.334 0.005 4 258 8 20.25
s 02 003888 07 05464 464.41735166 12.263 0.006 4 258 8 19.69
s 02 003888 07 05464 469.50709514 12.332 0.004 4 258 8 20.52
