# Source: PTFS1523n
# Coordinates: 345.96513 1.11423
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 131005 02 04734 1271.40152347 18.164 0.028 0 2 0 19.94
s 02 022692 05 08905 1271.40264357 18.040 0.023 0 2 0 20.19
s 02 022692 05 08905 1271.43189630 17.959 0.019 0 2 0 20.34
s 02 022692 05 08905 1271.46176908 17.995 0.018 0 2 0 20.39
s 02 131005 02 04734 1271.46312921 18.123 0.025 0 2 0 20.14
s 02 131005 02 04734 1272.37334383 18.162 0.029 16 514 0 19.82
s 02 131005 02 04734 1272.41920809 18.123 0.027 0 2 0 19.96
s 02 131005 02 04734 1272.47438320 18.180 0.026 0 2 0 20.09
s 02 022692 05 08905 1273.45434380 18.077 0.019 0 2 0 20.42
s 02 022692 05 08905 1273.48461659 17.893 0.027 0 2 0 19.87
s 02 022692 05 08905 1274.46112636 17.770 0.014 0 2 0 20.64
s 02 131005 02 04734 1275.35654820 18.023 0.032 0 2 0 19.61
s 02 131005 02 04734 1275.45147685 17.877 0.019 0 2 0 20.22
s 02 022692 05 08905 1275.46407800 17.975 0.017 0 194 0 20.54
s 02 131005 02 04734 1276.37557079 17.880 0.032 0 2 0 19.43
s 02 022692 05 08905 1276.37793101 17.931 0.029 0 2 0 19.60
s 02 022692 05 08905 1276.40740368 17.957 0.020 0 2 0 20.27
s 02 022692 05 08905 1276.43766642 17.945 0.018 0 2 0 20.37
s 02 131005 02 04734 1276.46689906 17.941 0.019 0 2 0 20.26
s 02 131005 02 04734 1277.45705838 17.716 0.019 0 2 0 20.07
s 02 022692 05 08905 1278.37522066 17.813 0.032 0 2 0 19.37
s 02 022692 05 08905 1278.40418325 17.814 0.027 0 2 0 19.71
s 02 022692 05 08905 1278.43412592 17.739 0.022 0 194 0 19.86
s 02 131005 02 04734 1278.46605877 17.823 0.026 0 2 0 19.77
s 02 131005 02 04734 1279.44974626 18.039 0.040 0 2 0 19.35
s 02 022692 05 08905 1280.38849915 18.118 0.061 0 2 0 18.97
s 02 022692 05 08905 1280.41736169 17.926 0.062 0 2 0 18.66
s 02 131005 02 04734 1280.42094200 17.935 0.104 0 2 0 18.26
s 02 131005 02 04734 1281.40188795 17.726 0.041 0 2 0 18.93
s 02 131005 02 04734 1281.45813285 18.010 0.043 0 2 0 19.13
s 02 022692 05 08905 1287.31108035 18.347 0.080 0 2 4 18.82
s 02 022692 05 08905 1287.34107283 17.941 0.089 0 2 4 18.34
s 02 131005 02 04734 1287.36224457 17.967 0.196 0 0 4 17.29
s 02 131005 02 04734 1287.40561816 18.153 0.034 0 2 0 19.66
s 02 131005 02 04734 1287.45325209 18.075 0.031 0 2 0 19.68
s 02 131005 02 04734 1292.42057095 18.030 0.021 0 2 0 20.25
s 02 022692 05 08905 1292.42307114 17.917 0.018 0 2 0 20.37
s 02 022692 05 08905 1292.44889316 18.063 0.019 0 2 0 20.47
s 02 022692 05 08905 1292.45002324 17.955 0.016 0 2 0 20.53
s 02 131005 02 04734 1292.46794464 17.962 0.020 0 2 0 20.22
s 02 131005 02 04734 1293.37611501 17.810 0.020 16 514 0 20.15
s 02 131005 02 04734 1293.42971914 17.937 0.019 24 514 0 20.15
s 02 131005 02 04734 1293.47316248 17.953 0.019 0 2 0 20.25
s 02 131005 02 04734 1294.30536616 17.917 0.033 16 2 4 19.71
s 02 022692 05 08905 1294.30762634 18.048 0.027 0 2 0 19.94
s 02 022692 05 08905 1294.33662854 17.898 0.020 0 2 0 20.25
s 02 022692 05 08905 1294.36646081 17.710 0.032 0 2 4 19.52
s 02 131005 02 04734 1294.38522224 17.760 0.037 0 2 4 19.79
s 02 131005 02 04734 1294.44258660 17.938 0.021 0 514 0 20.13
s 02 022692 05 08905 1295.33709414 18.239 0.084 0 2 4 19.30
s 02 131005 02 04734 1295.34185449 18.002 0.083 0 2 4 19.23
s 02 022692 05 08905 1295.36659635 17.988 0.024 0 2 0 20.16
s 02 131005 02 04734 1295.38643783 17.817 0.040 0 2 4 19.75
s 02 131005 02 04734 1295.43018111 18.149 0.027 0 2 0 20.08
s 02 022692 05 08905 1300.31586439 17.960 0.019 0 2 0 20.36
s 02 022692 05 08905 1300.35423706 17.998 0.020 0 2 0 20.38
s 02 131005 02 04734 1300.36513782 18.203 0.026 0 2 0 20.16
s 02 022692 05 08905 1300.38395913 18.115 0.019 0 194 0 20.64
s 02 131005 02 04734 1300.45175383 17.999 0.019 0 2 0 20.36
s 02 131005 02 04734 1300.49500684 18.039 0.023 0 2 0 20.15
s 02 022692 05 08905 1305.30305677 18.457 0.030 0 194 0 20.13
s 02 022692 05 08905 1305.33637889 17.963 0.043 0 2 4 19.45
s 02 022692 05 08905 1305.36953099 18.262 0.041 0 2 4 19.67
s 02 131005 02 04734 1305.39960290 18.136 0.033 0 2 0 19.73
s 02 131005 02 04734 1305.49107871 18.168 0.018 0 2 0 20.59
s 02 131005 02 04734 1306.27105777 18.679 0.169 0 0 4 17.76
s 02 131005 02 04734 1306.31547055 0.000 inf 0 0 0 15.51
s 02 131005 02 04734 1306.36604370 18.040 0.045 0 2 0 19.09
s 02 022692 05 08905 1314.23960388 17.805 0.033 0 2 0 19.40
s 02 131005 02 04734 1314.24422411 17.752 0.036 0 2 0 19.10
s 02 022692 05 08905 1314.26865538 17.867 0.030 0 2 0 19.47
s 02 022692 05 08905 1314.32804846 17.765 0.022 0 194 0 19.86
s 02 131005 02 04734 1314.34226919 17.708 0.026 0 2 0 19.67
s 02 022692 05 08905 1314.35806001 17.798 0.022 0 2 0 19.92
s 02 022692 05 08905 1314.38774155 17.798 0.023 0 2 0 19.94
s 02 131005 02 04734 1314.40584248 17.818 0.026 0 2 0 19.75
s 02 022692 05 08905 1315.28519737 18.020 0.026 0 2 0 19.88
s 02 022692 05 08905 1315.31713898 18.192 0.028 0 2 0 20.05
s 02 022692 05 08905 1315.36479138 17.921 0.020 0 194 0 20.28
s 02 022692 05 08905 1315.39620296 17.769 0.018 0 2 0 20.22
s 02 022692 05 08905 1315.42516442 17.849 0.019 0 2 0 20.33
s 02 022692 05 08905 1316.32815921 17.573 0.014 0 2 0 20.37
s 02 022692 05 08905 1316.35378046 17.628 0.014 0 2 0 20.39
s 02 022692 05 08905 1316.40573300 17.582 0.013 0 2 0 20.45
s 02 022692 05 08905 1316.43480442 17.645 0.013 0 2 0 20.46
s 02 022692 05 08905 1319.36607136 18.026 0.015 0 2 0 20.98
s 02 022692 05 08905 1319.40196296 17.679 0.012 0 2 0 20.80
s 02 022692 05 08905 1319.42989420 17.719 0.012 0 194 0 21.13
s 02 022692 05 08905 1319.45610537 17.673 0.012 0 194 0 21.15
s 02 022692 05 08905 1319.48229653 17.350 0.010 0 2 0 20.60
s 02 022692 05 08905 1332.23463980 18.161 0.023 0 194 0 20.32
s 02 022692 05 08905 1332.27273074 18.086 0.019 0 2 0 20.39
s 02 131005 02 04734 1332.30343150 17.747 0.014 0 2 0 20.48
s 02 131005 02 04734 1332.34741258 17.824 0.015 0 2 0 20.61
s 02 022692 05 08905 1332.34855261 17.716 0.012 0 194 0 21.16
s 02 022692 05 08905 1332.38515351 17.720 0.012 0 2 0 21.16
s 02 131005 02 04734 1332.39097365 17.929 0.015 0 2 0 20.74
s 02 022692 05 08905 1332.42193441 17.851 0.012 0 194 0 21.17
s 02 022692 05 08905 1332.45859531 17.849 0.013 0 2 0 21.14
s 02 022692 05 08905 1332.51838677 17.795 0.026 0 194 0 19.73
s 02 022692 05 08905 1333.19827294 17.916 0.025 0 2 0 19.87
s 02 022692 05 08905 1333.27335468 17.714 0.015 0 2 0 20.37
s 02 022692 05 08905 1333.32049577 17.912 0.016 0 2 0 20.47
s 02 022692 05 08905 1333.36340676 17.838 0.013 0 2 0 20.86
s 02 022692 05 08905 1333.40242765 17.890 0.013 0 2 0 21.02
s 02 022692 05 08905 1333.43883849 17.694 0.011 0 2 0 20.96
s 02 022692 05 08905 1333.47567933 17.832 0.013 0 2 0 20.66
s 02 022692 05 08905 1333.51003011 17.919 0.020 0 2 0 19.94
s 02 022692 05 08905 1334.20429551 17.728 0.019 0 194 0 19.97
s 02 022692 05 08905 1334.25384657 17.938 0.021 0 194 0 20.25
s 02 022692 05 08905 1334.33698836 17.629 0.014 0 194 0 20.39
s 02 022692 05 08905 1334.37931926 17.706 0.013 0 194 0 20.58
s 02 022692 05 08905 1334.42101015 17.949 0.013 0 194 0 21.14
s 02 022692 05 08905 1334.46333105 17.666 0.012 0 194 0 20.93
s 02 022692 05 08905 1334.50701198 17.858 0.016 0 194 0 20.38
s 02 022692 05 08905 1335.20292629 18.068 0.038 0 2 0 19.43
s 02 022692 05 08905 1335.24883720 17.779 0.023 0 2 0 19.83
s 02 022692 05 08905 1335.31533852 17.972 0.022 0 2 0 20.09
s 02 022692 05 08905 1335.37836977 17.925 0.022 0 2 0 20.15
s 02 022692 05 08905 1335.41852056 17.967 0.032 0 194 4 20.18
