# Source: PTFS1707e
# Coordinates: 112.78512 5.97998
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
s 02 002939 05 06016 764.22256367 13.896 0.006 0 2 8 20.19
s 02 002939 05 06050 764.22256367 0.000 inf 0 0 0 20.19
s 02 002939 05 06016 764.26752213 13.935 0.006 2 2 8 20.07
s 02 002939 05 06050 764.26752213 0.000 inf 0 0 0 20.07
s 02 002939 05 06016 2238.16695753 13.587 0.004 6 258 8 20.30
s 02 002939 05 06050 2238.16695753 0.000 inf 0 0 0 20.30
s 02 002939 05 06016 2238.18661647 13.625 0.004 6 258 8 20.47
s 02 002939 05 06050 2238.18661648 0.000 inf 0 0 0 20.47
s 02 002939 05 06016 2239.16597343 13.564 0.005 6 258 8 20.52
s 02 002939 05 06050 2239.16597343 0.000 inf 0 0 0 20.52
s 02 002939 05 06016 2239.18567235 13.535 0.004 6 258 8 20.57
s 02 002939 05 06050 2239.18567235 0.000 inf 0 0 0 20.57
s 02 002939 05 06016 2242.17743210 13.369 0.021 0 2 12 17.65
s 02 002939 05 06050 2242.17743210 0.000 inf 0 0 0 17.65
s 02 002939 05 06016 2247.17126184 15.666 0.006 0 2 0 19.94
s 02 002939 05 06050 2247.17126184 0.000 inf 0 0 0 19.94
s 02 002939 05 06016 2247.19483030 15.856 0.007 0 2 0 19.88
s 02 002939 05 06050 2247.19483031 0.000 inf 0 0 0 19.88
s 02 002939 05 06016 2257.20512934 14.078 0.004 4 258 8 19.97
s 02 002939 05 06050 2257.20512934 0.000 inf 0 0 0 19.97
s 02 002939 05 06016 2257.23288721 14.071 0.005 4 258 8 19.91
s 02 002939 05 06050 2257.23288722 0.000 inf 0 0 0 19.91
s 02 002939 05 06016 2258.18331413 13.690 0.004 6 258 8 20.49
s 02 002939 05 06050 2258.18331413 0.000 inf 0 0 0 20.49
s 02 002939 05 06016 2258.22089122 13.689 0.004 6 258 8 20.17
s 02 002939 05 06050 2258.22089123 0.000 inf 0 0 0 20.17
s 02 002939 05 06050 2515.50217850 0.000 inf 0 0 0 20.19
s 02 002939 05 06016 2515.50217851 15.824 0.006 0 2 0 20.19
s 02 002939 05 06050 2515.55272248 0.000 inf 0 0 0 20.08
s 02 002939 05 06016 2515.55272249 15.569 0.006 0 2 0 20.08
s 02 002939 05 06050 2516.51923816 0.000 inf 0 0 0 20.21
s 02 002939 05 06016 2516.51923817 13.508 0.005 6 258 8 20.21
s 02 002939 05 06050 2516.56357161 0.000 inf 0 0 0 19.29
s 02 002939 05 06016 2516.56357162 13.465 0.007 4 258 8 19.29
s 02 002939 05 06050 2517.51957551 0.000 inf 0 0 0 20.40
s 02 002939 05 06016 2517.51957552 13.724 0.004 6 258 8 20.40
s 02 002939 05 06050 2517.56044865 0.000 inf 0 0 0 20.11
s 02 002939 05 06016 2517.56044866 13.701 0.005 6 258 8 20.11
s 02 002939 05 06050 2568.31024850 0.000 inf 0 0 0 20.34
s 02 002939 05 06016 2568.31024851 13.602 0.005 6 258 8 20.34
s 02 002939 05 06050 2568.34075859 0.000 inf 0 0 0 20.25
s 02 002939 05 06016 2568.34075859 13.579 0.004 6 258 8 20.25
s 02 002939 05 06050 2570.37846063 0.000 inf 0 0 0 20.20
s 02 002939 05 06016 2570.37846063 14.086 0.027 2 2 12 20.20
s 02 002939 05 06050 2570.40428061 0.000 inf 0 0 0 20.27
s 02 002939 05 06016 2570.40428061 14.116 0.027 0 2 12 20.27
s 02 002939 05 06016 2588.31668688 15.804 0.008 0 2 0 19.58
s 02 002939 05 06050 2588.31668688 0.000 inf 0 0 0 19.58
s 02 002939 05 06016 2588.34809592 15.659 0.007 0 2 0 19.76
s 02 002939 05 06050 2588.34809592 0.000 inf 0 0 0 19.76
s 02 002939 05 06016 2590.32125228 16.173 0.006 0 2 0 20.28
s 02 002939 05 06050 2590.32125228 0.000 inf 0 0 0 20.28
s 02 002939 05 06016 2590.35293121 15.995 0.006 0 2 0 20.06
s 02 002939 05 06050 2590.35293121 0.000 inf 0 0 0 20.06
s 02 002939 05 06016 2591.30878810 15.747 0.007 0 2 0 20.06
s 02 002939 05 06050 2591.30878811 0.000 inf 0 0 0 20.06
s 02 002939 05 06016 2591.34157694 16.249 0.009 0 2 0 19.84
s 02 002939 05 06050 2591.34157694 0.000 inf 0 0 0 19.84
s 02 002939 05 06016 2592.29066260 16.499 0.008 0 2 0 19.98
s 02 002939 05 06050 2592.29066260 0.000 inf 0 0 0 19.98
s 02 002939 05 06016 2592.31890156 16.353 0.008 0 2 0 20.01
s 02 002939 05 06050 2592.31890156 0.000 inf 0 0 0 20.01
s 02 002939 05 06016 2593.36405207 16.351 0.009 0 2 0 19.84
s 02 002939 05 06050 2593.36405207 0.000 inf 0 0 0 19.84
