# Source: PTFS1720i
# Coordinates: 306.82243 43.68944
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
t 02 004586 10 00143 804.48984658 17.132 0.015 2 2 0 19.52
t 02 004586 10 00143 804.49109661 17.166 0.015 0 2 0 19.60
t 02 004586 10 00143 1695.14977050 14.600 0.043 0 2 4 18.98
t 02 004586 10 00143 1695.17178047 14.163 0.079 0 2 12 18.80
t 02 004586 10 00143 1695.20426044 14.261 0.086 0 2 12 17.15
t 02 004586 10 00143 1695.22745042 14.516 0.007 0 2 0 19.28
t 02 004586 10 00143 1695.25145039 14.499 0.007 0 2 0 19.43
t 02 004586 10 00143 1696.15206911 14.623 0.005 0 2 0 19.77
t 02 004586 10 00143 1696.17647907 14.581 0.006 0 2 0 19.83
t 02 004586 10 00143 1696.21088900 14.608 0.006 0 2 0 19.63
t 02 004586 10 00143 1696.23632896 14.615 0.006 0 2 0 19.64
t 02 004586 10 00143 1696.26111891 14.548 0.006 0 2 0 19.63
t 02 004586 10 00143 1700.17226508 16.670 0.009 0 2 0 20.03
t 02 004586 10 00143 1700.23973472 16.525 0.008 0 2 0 20.09
t 02 004586 10 00143 1707.17156830 16.862 0.010 0 194 0 20.08
t 02 004586 10 00143 1707.20866789 16.963 0.010 0 194 0 20.06
t 02 004586 10 00143 1710.13931193 17.194 0.012 0 2 0 19.98
t 02 004586 10 00143 1710.17511144 17.217 0.013 0 2 0 20.02
t 02 004586 10 00143 1714.14793137 16.687 0.009 0 2 0 19.95
t 02 004586 10 00143 1714.17846085 16.588 0.009 0 2 0 19.93
t 02 004586 10 00143 1715.14017437 17.157 0.013 0 2 0 19.82
t 02 004586 10 00143 1715.21452307 17.194 0.013 0 2 0 19.86
t 02 004586 10 00143 1716.13772650 17.002 0.013 0 2 0 19.69
t 02 004586 10 00143 1716.17128588 17.246 0.015 0 2 0 19.69
t 02 004586 10 00143 1717.13916776 17.092 0.013 0 2 0 19.69
t 02 004586 10 00143 1717.16987717 17.156 0.014 0 2 0 19.73
t 02 004586 10 00143 1718.13525834 17.114 0.015 0 194 0 19.51
t 02 004586 10 00143 1718.16891767 17.156 0.016 0 2 0 19.46
t 02 004586 10 00143 1719.13471807 17.135 0.015 0 194 0 19.57
t 02 004586 10 00143 1719.16762738 17.278 0.019 0 2 0 19.38
t 02 004586 10 00143 1720.13012711 17.150 0.016 0 2 0 19.44
t 02 004586 10 00143 1720.16361639 16.928 0.013 0 2 0 19.56
t 02 004586 10 00143 1726.13289468 17.297 0.015 2 2 0 19.66
t 02 004586 10 00143 1726.16562383 17.002 0.012 0 2 0 19.67
t 02 004586 10 00143 1726.19913296 17.212 0.015 0 2 0 19.64
t 02 004586 10 00143 1727.12164864 17.222 0.013 0 2 0 19.76
t 02 004586 10 00143 1727.15371778 17.042 0.012 0 2 0 19.72
t 02 004586 10 00143 1727.18786687 17.316 0.013 0 2 0 19.94
t 02 004586 10 00143 1728.13763114 17.273 0.013 0 2 0 20.00
t 02 004586 10 00143 1728.16974025 17.037 0.012 2 2 0 19.74
t 02 004586 10 00143 1728.20295934 17.354 0.013 0 2 0 20.04
t 02 004586 10 00143 2000.39961027 16.939 0.009 0 2 0 20.14
t 02 004586 10 00143 2000.43380168 17.068 0.010 0 2 0 20.10
t 02 004586 10 00143 2008.42268649 16.796 0.008 0 2 0 24.02
t 02 004586 10 00143 2008.45204759 17.051 0.010 2 2 0 24.02
t 02 004586 10 00143 2015.34141126 15.305 0.005 0 2 0 24.02
t 02 004586 10 00143 2015.37819249 15.419 0.005 0 2 0 24.02
t 02 004586 10 00143 2023.37415853 17.029 0.011 0 2 0 24.02
t 02 004586 10 00143 2023.41959981 16.898 0.010 0 2 0 24.02
t 02 004586 10 00143 2030.23281515 14.209 0.006 0 2 8 24.02
t 02 004586 10 00143 2030.26669594 14.274 0.006 0 2 8 24.02
t 02 004586 10 00143 2030.30534684 14.170 0.006 0 2 8 24.02
t 02 004586 10 00143 2030.34411774 14.253 0.005 0 2 8 24.02
t 02 004586 10 00143 2030.37459845 14.137 0.006 0 2 8 24.02
t 02 004586 10 00143 2036.36278396 14.829 0.005 0 2 0 24.02
t 02 004586 10 00143 2036.38944446 14.839 0.006 0 2 0 24.02
t 02 004586 10 00143 2036.42078504 14.745 0.006 0 2 0 24.02
t 02 004586 10 00143 2036.44751554 14.818 0.006 0 2 0 24.02
t 02 004586 10 00143 2036.47818611 14.816 0.005 0 2 0 24.02
t 02 004586 10 00143 2043.22355370 15.333 0.006 0 2 0 24.02
t 02 004586 10 00143 2043.26439425 15.143 0.005 0 2 0 24.02
t 02 004586 10 00143 2043.38828588 14.936 0.005 0 2 0 24.02
t 02 004586 10 00143 2043.42024630 14.911 0.005 0 2 0 24.02
t 02 004586 10 00143 2043.45395674 14.902 0.005 0 2 0 24.02
t 02 004586 10 00143 2046.24088007 16.933 0.015 0 2 0 24.02
